                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9871,                 3.7594,                 1.4762,                0.00961,                0.08333,                0.00527,                0.00213,                 2.0728,                 3.5459,                 1.1661,                 0.0937,                 0.0007,                 0.0007
                      1,                 2.5182,                 3.3807,                  1.255,                0.02745,                 0.2381,                0.01778,                0.00769,                 1.9499,                 3.1586,                 1.0887,               0.086203,               0.001203,               0.001203
